bib,parsed_name,matched_name,skater_id,confidence,method
100,Saruar Aitbayeva,Saruar Aitbayeva,739,100,exact
101,Nagi Aitbayeva,Aitbayeva Nagi,314,100,exact_sorted
102,Diana Bickmore,Diana Bickmore,90,100,exact
103,Elizabeth Bourquin,Elizabeth Bourquin,176,100,exact
104,Ada Cao,Ada Cao,331,100,exact
105,Penelope Cattell,Penelope Cattell,474,100,exact
106,Isabella Chen,Isabella Chen,89,100,exact
107,Sarah Chen,Sarah Chen,197,100,exact
108,Elliana Cho,Elliana Cho,140,100,exact
110,Makayla Chou,Makayla Chou,109,100,exact
111,Sara Cushman,Sara Cushman,37,100,exact
112,Gabrielle Garnier,Gabrielle Garnier,1663,100,exact
113,Sarah Girach,Sarah Girach,34,100,exact
114,Lindsay Lin,Lindsay Lin,199,100,exact
115,Kassandra Haeupl,Kassandra Haeupl,1113,100,exact
116,Lucy Hoffman,Lucy Hoffman,424,100,exact
117,Zoey Hoffman,Zoey Hoffman,1664,100,exact
118,Emily Hogan,Emily Hogan,964,100,exact
119,Lois Houck,Lois Houck,253,100,exact
120,Hannah Huang,Hannah Huang,124,100,exact
121,Ji Jung,Ji Jung,1666,100,exact
122,Lyra Katzman,Lyra Katzman,271,100,exact
123,Madeline Koons,Madeline Koons,200,100,exact
124,Sofia Koons,Sofia Koons,9,100,exact
125,Yoonji Kuh,Yoonji Kuh,625,100,exact
126,Clara Lee,Clara Lee,86,100,exact
127,Chuyi Liao,Chuyi Liao,1673,100,exact
128,Jei Lim,Jei Lim,492,100,exact
129,Johanna Gleicher,Johanna Gleicher,317,100,exact
130,Sasha Mensah,Sasha Mensah,23,100,exact
131,Tatyana Pometun,Tatyana Pometun,60,100,exact
132,Harshini Ramachandran,Harshini Ramachandran,980,100,exact_sorted
133,Dharshini Ramachandran,Dharshini Ramachandran,602,100,exact
134,Tobi Ranta,Tobi Ranta,328,100,exact
135,Kathryn Sautter,Kathryn Sautter,806,100,exact
137,Therese Sowa,Therese Sowa,226,100,exact
138,Priyanka Srinivasula,Priyanka Srinivasula,79,100,exact
139,Charlotte Streefkerk,Charlotte Streefkerk,1050,100,exact
140,Rosaline Wang,Rosaline Wang,1674,100,exact
141,Tiffany Zhang,Tiffany Zhang,207,100,exact
142,James Abramovich,James Abramovich,592,100,exact
143,Ian Andrews,Ian Andrews,254,100,exact
145,Xavier Babkine-Osterrath,Xavier Babkine-Osterrath,121,100,exact
146,Ilchan Bae,Ilchan Bae,164,100,exact
147,Martin Bednar,Martin Bednar,148,100,exact
148,William Bi,William Bi,417,100,exact
149,Jaxon Brogan,Jaxon Brogan,335,100,exact
150,Daniel Butler,Daniel Butler,49,100,exact
151,Derick Chang,Derick Chang,460,100,exact
152,Nicholas Clark,Nicholas Clark,203,100,exact
153,Dexter Colice,Dexter Colice,351,100,exact
154,Sebastian Delnore,Sebastian Delnore,324,100,exact
155,Hunter Dong,Hunter Dong,531,100,exact
156,Zachary Double,Zachary Double,214,100,exact
