id,event_id,section_type,division,distance_m,rank,bib,skater_name,affiliation,points,skater_status,cdr,bdr,semi_group,final_group,best_time_text,best_time_seconds,page_number,club_id,skater_id
76198,134,overall,Monopoly Men,,1,22,Ethan Sonn,,7000.0,,,,,,,,,,2
76199,134,overall_dist,Monopoly Men,1000,,22,Ethan Sonn,,1000.0,,,,,,,,,,2
76200,134,overall_dist,Monopoly Men,1000,,22,Ethan Sonn,,1000.0,,,,,,,,,,2
76201,134,overall_dist,Monopoly Men,500,,22,Ethan Sonn,,1000.0,,,,,,,,,,2
76202,134,overall_dist,Monopoly Men,500,,22,Ethan Sonn,,1000.0,,,,,,,,,,2
76203,134,overall_dist,Monopoly Men,500,,22,Ethan Sonn,,1000.0,,,,,,,,,,2
76204,134,overall_dist,Monopoly Men,500,,22,Ethan Sonn,,1000.0,,,,,,,,,,2
76205,134,overall,Monopoly Men,,2,33,Andrew Ellison,,4960.0,,,,,,,,,,6
76206,134,overall_dist,Monopoly Men,1000,,33,Andrew Ellison,,640.0,,,,,,,,,,6
76207,134,overall_dist,Monopoly Men,1000,,33,Andrew Ellison,,640.0,,,,,,,,,,6
76208,134,overall_dist,Monopoly Men,500,,33,Andrew Ellison,,800.0,,,,,,,,,,6
76209,134,overall_dist,Monopoly Men,500,,33,Andrew Ellison,,800.0,,,,,,,,,,6
76210,134,overall_dist,Monopoly Men,500,,33,Andrew Ellison,,800.0,,,,,,,,,,6
76211,134,overall_dist,Monopoly Men,500,,33,Andrew Ellison,,640.0,,,,,,,,,,6
76212,134,overall,Monopoly Men,,3,11,Matthew Lorenz,,4864.0,,,,,,,,,,87
76213,134,overall_dist,Monopoly Men,1000,,11,Matthew Lorenz,,800.0,,,,,,,,,,87
76214,134,overall_dist,Monopoly Men,1000,,11,Matthew Lorenz,,800.0,,,,,,,,,,87
76215,134,overall_dist,Monopoly Men,500,,11,Matthew Lorenz,,640.0,,,,,,,,,,87
76216,134,overall_dist,Monopoly Men,500,,11,Matthew Lorenz,,512.0,,,,,,,,,,87
76217,134,overall_dist,Monopoly Men,500,,11,Matthew Lorenz,,512.0,,,,,,,,,,87
76218,134,overall_dist,Monopoly Men,500,,11,Matthew Lorenz,,800.0,,,,,,,,,,87
76219,134,overall,Monopoly Men,,4,44,Corin Habecker,,3840.0,,,,,,,,,,267
76220,134,overall_dist,Monopoly Men,1000,,44,Corin Habecker,,512.0,,,,,,,,,,267
76221,134,overall_dist,Monopoly Men,1000,,44,Corin Habecker,,512.0,,,,,,,,,,267
76222,134,overall_dist,Monopoly Men,500,,44,Corin Habecker,,512.0,,,,,,,,,,267
76223,134,overall_dist,Monopoly Men,500,,44,Corin Habecker,,640.0,,,,,,,,,,267
76224,134,overall_dist,Monopoly Men,500,,44,Corin Habecker,,640.0,,,,,,,,,,267
76225,134,overall_dist,Monopoly Men,500,,44,Corin Habecker,,512.0,,,,,,,,,,267
76226,134,overall,Scrabble Men,,1,55,Roman Hastings,,3512.0,,,,,,,,,,56
76227,134,overall_dist,Scrabble Men,777,,55,Roman Hastings,,1000.0,,,,,,,,,,56
76228,134,overall_dist,Scrabble Men,500,,55,Roman Hastings,,1000.0,,,,,,,,,,56
76229,134,overall_dist,Scrabble Men,500,,55,Roman Hastings,,512.0,,,,,,,,,,56
